regNumber,title,img,labels
17152574,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152574_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE52A0>,17
17152569,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152569_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5270>,70
17152560,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152560_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5090>,70
17152156,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152156_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x191 at 0x7F7D1EBE4E80>,28
17152092,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152092_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x597 at 0x7F7D1EBE5360>,28
17152552,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152552_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE51E0>,70
17152548,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152548_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5150>,70
17333432,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333432_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5180>,0
17333394,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333394_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5330>,27
17333404,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333404_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5450>,87
17333401,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333401_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE53F0>,63
18358876,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358876_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5390>,55
18358906,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358906_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5420>,74
17333378,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333378_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE54B0>,19
18358901,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358901_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5480>,42
18358886,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358886_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE55D0>,6
18057135,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18057135_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x208 at 0x7F7D1EBE5570>,78
18358898,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358898_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5690>,91
18619650,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619650_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE5510>,57
18619669,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619669_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x185 at 0x7F7D1EBE54E0>,40
18962119,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18962119_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=183x256 at 0x7F7D1EBE5660>,54
19042931,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19042931_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=192x256 at 0x7F7D1EBE56F0>,41
18619597,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619597_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE5630>,13
18619642,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619642_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE52D0>,40
18619613,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619613_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE55A0>,40
19376879,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19376879_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x182 at 0x7F7D1EBE5720>,40
19469142,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19469142_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x180 at 0x7F7D1EBE5780>,40
19469198,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19469198_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE5840>,83
21472069,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/21472069_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x152 at 0x7F7D1EBE5600>,13
21429502,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/21429502_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=181x256 at 0x7F7D1EBE5900>,54
23849798,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/23849798_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x188 at 0x7F7D1EBE5210>,2
19469099,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19469099_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x185 at 0x7F7D1EBE57B0>,13
26157177,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/26157177_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x1024 at 0x7F7D1EBE56C0>,54
26157038,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/26157038_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x1024 at 0x7F7D1EBE45E0>,54
26157061,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/26157061_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x1024 at 0x7F7D1EBE5540>,54
28869172,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869172_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=199x256 at 0x7F7D1EBE5930>,83
28869175,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869175_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=197x256 at 0x7F7D1EBE5990>,40
26157111,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/26157111_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=742x1024 at 0x7F7D1EBE59F0>,54
28869163,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869163_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x196 at 0x7F7D1EBE5A50>,83
28869138,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869138_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=196x256 at 0x7F7D1EBE5B70>,40
28869108,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869108_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x198 at 0x7F7D1EBE5870>,83
28869105,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869105_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x530 at 0x7F7D1EBE5BA0>,9
28869115,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869115_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x197 at 0x7F7D1EBE5AB0>,82
26658527,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/26658527_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=181x256 at 0x7F7D1EBE5CF0>,41
28869083,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869083_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=197x256 at 0x7F7D1EBE5A80>,83
28869080,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/28869080_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x198 at 0x7F7D1EBE5BD0>,83
33808687,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/33808687_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x95 at 0x7F7D1EBE57E0>,38
30581624,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/30581624_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=167x256 at 0x7F7D1EBE5C00>,41
34826272,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826272_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x587 at 0x7F7D1EBE5C60>,49
34826259,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826259_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x584 at 0x7F7D1EBE5D50>,26
34826267,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826267_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=744x562 at 0x7F7D1EBE5C30>,36
34826268,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826268_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=755x565 at 0x7F7D1EBE5E70>,36
34830787,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34830787_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x569 at 0x7F7D1EBE5CC0>,36
34826249,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826249_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x568 at 0x7F7D1EBE53C0>,26
