regNumber,title,img,labels
17152566,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152566_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE4F10>,7
17152574,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152574_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE52A0>,7
17152569,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152569_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5270>,7
17152560,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152560_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5090>,7
17152156,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152156_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x597 at 0x7F7D1EBE4E80>,-1
17152092,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152092_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x597 at 0x7F7D1EBE5360>,8
17152552,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152552_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE51E0>,7
17152548,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152548_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE5150>,7
17333432,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333432_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5180>,9
17333394,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333394_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5330>,-1
17333404,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333404_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x600 at 0x7F7D1EBE5450>,-1
17333401,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333401_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE53F0>,-1
18358876,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358876_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5390>,10
18358906,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358906_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5420>,11
17333378,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333378_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x600 at 0x7F7D1EBE54B0>,-1
18358901,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358901_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5480>,11
18358886,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358886_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE55D0>,10
18057135,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18057135_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x208 at 0x7F7D1EBE5570>,12
18358898,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18358898_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x192 at 0x7F7D1EBE5690>,11
18619650,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619650_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE5510>,-1
18619669,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619669_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x185 at 0x7F7D1EBE54E0>,-1
18619597,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619597_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE5630>,-1
18619642,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619642_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE52D0>,-1
18619613,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619613_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE55A0>,-1
19376879,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19376879_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x182 at 0x7F7D1EBE5720>,-1
19469142,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19469142_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x180 at 0x7F7D1EBE5780>,-1
19469198,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/19469198_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE5840>,-1
